account,trades,total_pnl,avg_pnl,win_rate
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7754,1674353.332039,215.93414135143152,0.3611039463502708
0x083384f897ee0f19899168e3b1bec365f52a9012,2712,1359427.638105,501.2638783573008,0.43547197640117996
0xbaaaf6571ab7d571043ff1e313a9609a10637864,10072,817764.315646,81.19185024285147,0.5081413820492454
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2274,404855.229892,178.03660065611257,0.40589270008795075
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,11124,273196.995818,24.559240904171162,0.49316792520676017
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,472,201716.01261,427.36443349576274,0.23940677966101695
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3333,169336.633271,50.806070588358835,0.7971797179717972
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,156030.866984,211.71081001899591,0.48846675712347354
0x513b8629fe877bb581bf244e326a047b249c4ff1,2555,100482.608372,39.327831065362034,0.30528375733855184
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2938,98019.94253199999,33.36281229816201,0.3512593601089176
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1458,95012.274716,65.16616921536351,0.4046639231824417
0x2c229d22b100a7beb69122eed721cee9b24011dd,896,76323.718082,85.18272107366072,0.53125
0x8170715b3b381dffb7062c0298972d4727a0a63b,1242,52384.786049,42.177766545088566,0.19887278582930756
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4306,41329.55692,9.598132122619601,0.461216906641895
0x420ab45e0bd8863569a5efbb9c05d91f40624641,155,31838.588422,205.41024788387097,0.22580645161290322
0x271b280974205ca63b716753467d5a371de622ab,1140,30179.745676,26.473461119298243,0.43157894736842106
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,334,29677.264671,88.85408584131737,0.46107784431137727
0xb899e522b5715391ae1d4f137653e7906c5e2115,3982,28861.462188,7.247981463586138,0.4585635359116022
0x430f09841d65beb3f27765503d0f850b8bce7713,286,28410.862502,99.33868007692308,0.24125874125874125
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,269,24741.581134,91.97613804460967,0.46096654275092935
